Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,484353,484353,392526,321048,292626
Interest Expense,22078,22078,12815,8296,7976
Income Before Tax,291074,291074,211115,188795,162286
Income Tax Expense,83247,83247,59112,84384,60857
Income from Continuing Operations,207827,207827,152003,104411,101429
Net Income,207827,207827,152003,104411,101429
Net Income available to common shareholders,207339,207339,151574,104029,101008
Basic EPS,-,-,1.25,0.95,0.94
Diluted EPS,-,-,1.24,0.95,0.94
Basic Average Shares,-,-,121670,109409,107282
Diluted Average Shares,-,-,121957,109807,107687
