Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,287893,287893,230252,211698,164554
Interest Expense,66417,66417,45897,25235,13729
Income Before Tax,116036,116036,104577,86517,74839
Income Tax Expense,23297,23297,15360,38327,26002
Income from Continuing Operations,92739,92739,89217,48190,48837
Net Income,92739,92739,89217,48190,48837
Net Income available to common shareholders,92739,92739,89217,48190,48837
Basic EPS,-,-,3.86,2.10,2.44
Diluted EPS,-,-,3.83,2.07,2.41
Basic Average Shares,-,-,23113,22948,20015
Diluted Average Shares,-,-,23294,23280,20264
