Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,92940,90458,86132,77783,82886
Interest Expense,898,829,801,502,-
Income Before Tax,31324,31336,28731,22266,18913
Income Tax Expense,9695,9967,9298,6829,5625
Income from Continuing Operations,21629,21369,19433,15437,13288
Net Income,22448,22194,19696,15437,13288
Net Income available to common shareholders,22448,22194,19696,15437,13288
Basic EPS,-,1.09,0.97,0.77,0.67
Diluted EPS,-,1.08,0.97,0.77,0.66
Basic Average Shares,-,20435,20248,20046,19838
Diluted Average Shares,-,20579,20328,20074,19991
