Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,55394,55248,56072,54088,55691
Interest Expense,20452,20749,16268,12799,11431
Income Before Tax,15669,15038,12195,8930,10310
Income Tax Expense,2645,2415,5664,1591,2583
Income from Continuing Operations,13024,12623,6531,7339,7727
Net Income,13024,12623,6531,7339,7727
Net Income available to common shareholders,13024,12623,6531,7339,7727
Basic EPS,-,1.18,0.60,0.69,0.74
Diluted EPS,-,1.18,0.60,0.69,0.73
Basic Average Shares,-,10733,10834,10602,10398
Diluted Average Shares,-,10733,10834,10663,10519
