Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,54021,54021,50518,47667,45676
Interest Expense,15492,15492,12054,9199,7820
Income Before Tax,19257,19257,16773,14106,13738
Income Tax Expense,3552,3552,3085,6903,3816
Income from Continuing Operations,15705,15705,13688,7203,9922
Net Income,15705,15705,13688,7203,9922
Net Income available to common shareholders,15705,15705,13688,7203,9922
Basic EPS,-,-,0.62,0.33,0.45
Diluted EPS,-,-,0.61,0.32,0.45
Basic Average Shares,-,-,22077,21827,22049
Diluted Average Shares,-,-,22439,22509,22049
