Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,41921,41921,39675,36372,33147
Interest Expense,7554,7554,4873,3223,2358
Income Before Tax,13902,13902,13135,9922,10462
Income Tax Expense,2326,2326,2129,1206,2769
Income from Continuing Operations,11576,11576,11006,8716,7693
Net Income,11576,11576,11006,8716,7693
Net Income available to common shareholders,11576,11576,11006,8716,7693
Basic EPS,-,-,2.93,2.35,2.09
Diluted EPS,-,-,2.90,2.33,2.09
Basic Average Shares,-,-,3756,3709,3675
Diluted Average Shares,-,-,3795,3741,3687
