Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,615627,615627,552244,359045,345047
Interest Expense,123324,123324,91147,49528,33279
Income Before Tax,242862,242862,214221,116163,130731
Income Tax Expense,44787,44787,41626,19376,42205
Income from Continuing Operations,198075,198075,172595,96787,88526
Net Income,198075,198075,172595,96787,88526
Net Income available to common shareholders,198075,198075,172595,96787,88526
Basic EPS,-,2.01,1.95,1.57,1.45
Diluted EPS,-,2.00,1.93,1.56,1.43
Basic Average Shares,-,98306,88582,61529,61052
Diluted Average Shares,-,98851,89614,62172,61906
