Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,43049,43049,44053,39830,36766
Interest Expense,20712,20712,14738,10022,7507
Income Before Tax,12931,12931,18592,13421,12604
Income Tax Expense,2562,2562,3693,4942,3712
Income from Continuing Operations,10369,10369,14899,8479,8892
Net Income,10369,10369,14899,8479,8892
Net Income available to common shareholders,10353,10353,14871,8475,8871
Basic EPS,-,-,1.44,0.82,0.75
Diluted EPS,-,-,1.43,0.81,0.74
Basic Average Shares,-,-,10307,10289,11868
Diluted Average Shares,-,-,10424,10437,12028
