Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,193872,193872,176304,152337,124009
Interest Expense,78806,78806,51696,23183,11193
Income Before Tax,79499,79499,60086,50599,38334
Income Tax Expense,23260,23260,17128,23017,15031
Income from Continuing Operations,56239,56239,42958,27582,23303
Net Income,56239,56239,42958,27582,23303
Net Income available to common shareholders,56239,56239,42958,27582,23303
Basic EPS,-,-,1.02,0.80,0.72
Diluted EPS,-,-,1.01,0.78,0.70
Basic Average Shares,-,-,42092,34483,32366
Diluted Average Shares,-,-,42567,35331,33472
