Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,679653,679653,670676,666035,648415
Interest Expense,105290,105290,79733,41964,26848
Income Before Tax,381698,381698,358178,368355,371829
Income Tax Expense,97306,97306,93784,184673,141651
Income from Continuing Operations,284392,284392,264394,183682,230178
Net Income,284392,284392,264394,183682,230178
Net Income available to common shareholders,284392,284392,264394,183682,230178
Basic EPS,-,-,1.93,1.32,1.65
Diluted EPS,-,-,1.93,1.32,1.65
Basic Average Shares,-,-,136945,139560,139488
Diluted Average Shares,-,-,137111,139657,139493
