Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,201535,201535,-125483,173995,160412
Interest Expense,136747,136747,125483,115169,118815
Income Before Tax,101513,101513,94294,84553,74188
Income Tax Expense,27896,27896,26781,23745,20024
Income from Continuing Operations,73617,73617,67513,60808,54164
Net Income,73617,73617,67513,60808,54164
Net Income available to common shareholders,73617,73617,67513,60808,54164
Basic EPS,-,-,0.13,0.12,0.11
Diluted EPS,-,-,0.13,0.12,0.11
Basic Average Shares,-,-,538594,493177,473360
Diluted Average Shares,-,-,538594,493177,473360
