Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,511303,511303,545244,547213,412220
Interest Expense,218191,218191,162245,90724,58579
Income Before Tax,226350,226350,255481,263834,191199
Income Tax Expense,55310,55310,65892,124389,77452
Income from Continuing Operations,171040,171040,189589,139445,113747
Net Income,171040,171040,189589,139445,113747
Net Income available to common shareholders,171040,171040,189589,139445,113747
Basic EPS,-,-,1.44,1.03,1.10
Diluted EPS,-,-,1.44,1.03,1.10
Basic Average Shares,-,-,131717,135349,103289
Diluted Average Shares,-,-,131954,135685,103530
