Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,113147000,113147000,101548000,106444000,114763000
Interest Expense,75958000,75958000,70612000,78325000,95126000
Income Before Tax,31243000,31243000,30608000,32211000,38192000
Income Tax Expense,3430000,3430000,4969000,7943000,14610000
Income from Continuing Operations,27813000,27813000,25639000,24268000,23582000
Net Income,27113000,27113000,24907000,23903000,23263000
Net Income available to common shareholders,27113000,27113000,24907000,23903000,23263000
Basic EPS,-,-,2.56,2.45,2.38
Diluted EPS,-,-,2.55,2.43,2.36
Basic Average Shares,-,-,9718162,9755865,9784435
Diluted Average Shares,-,-,9773764,9818481,9851965
