Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,30929,31667,30339,26677,20844
Interest Expense,19522,18580,12995,9446,6732
Income Before Tax,12188,11801,11582,8739,5976
Income Tax Expense,2365,2469,4276,2922,-5966
Income from Continuing Operations,9823,9332,7306,5817,11942
Net Income,9823,9332,7306,5817,11942
Net Income available to common shareholders,9823,9332,7306,5817,11942
Basic EPS,-,1.22,1.13,0.90,1.86
Diluted EPS,-,1.22,1.13,0.90,1.86
Basic Average Shares,-,7639,6456,6431,6409
Diluted Average Shares,-,7639,6460,6432,6409
