Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,82784,82784,63392,43193,40552
Interest Expense,25164,25164,12720,6304,5367
Income Before Tax,21426,21426,12725,11589,10081
Income Tax Expense,3725,3725,2129,4500,2277
Income from Continuing Operations,17701,17701,10596,7089,7804
Net Income,17701,17701,10596,7089,7804
Net Income available to common shareholders,17701,17701,10494,7089,7804
Basic EPS,-,-,1.48,1.67,1.85
Diluted EPS,-,-,1.48,1.67,1.85
Basic Average Shares,-,-,7091,4237,4218
Diluted Average Shares,-,-,7091,4237,4218
