Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,8332,20637,16876,31637
Selling General and Administrative,595,623,546,470
Total Operating Expenses,595,623,546,470
Interest Expense,231,404,633,626
Income Before Tax,7737,20014,16330,31167
Income Tax Expense,291,227,223,280
Income from Continuing Operations,7446,19787,16107,30887
Net Income,7446,19787,16107,30887
Net Income available to common shareholders,7446,19787,16107,30887
Basic EPS,-,1.18,0.96,1.85
Diluted EPS,-,1.18,0.96,1.85
Basic Average Shares,-,16733,16733,16733
Diluted Average Shares,-,16733,16733,16733
