Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,120963,120963,87143,81796,82841
Interest Expense,22961,22961,17706,12301,11132
Income Before Tax,35014,35014,15376,12330,13355
Income Tax Expense,8450,8450,3373,4755,4378
Income from Continuing Operations,26564,26564,12003,7575,8977
Net Income,26991,26991,12003,7575,12912
Net Income available to common shareholders,26512,26512,11514,7077,11784
Basic EPS,-,-,1.04,0.69,1.43
Diluted EPS,-,-,1.00,0.68,1.30
Basic Average Shares,-,-,11031,10309,8252
Diluted Average Shares,-,-,12722,10440,10117
