Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1996000,1996000,1923000,2211000,2523000
Interest Expense,3488000,3488000,3668000,2971000,2441000
Income Before Tax,763000,763000,528000,764000,1108000
Income Tax Expense,166000,166000,133000,472000,427000
Income from Continuing Operations,597000,597000,395000,292000,681000
Net Income,597000,597000,395000,292000,681000
Net Income available to common shareholders,597000,597000,395000,292000,681000
Basic EPS,-,-,1.52,1.06,2.15
Diluted EPS,-,-,1.49,1.04,2.12
Basic Average Shares,-,-,259868,275472,316744
Diluted Average Shares,-,-,264000,281000,322000
