Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,249656,249656,241745,268416,304171
Interest Expense,76473,76473,46227,36134,32325
Income Before Tax,83935,83935,37457,90417,15841
Income Tax Expense,22101,22101,6539,42774,4387
Income from Continuing Operations,61834,61834,30918,47643,11454
Net Income,61834,61834,30918,47643,11454
Net Income available to common shareholders,59294,59294,30249,46896,11438
Basic EPS,-,-,0.82,1.29,0.34
Diluted EPS,-,-,0.81,1.26,0.33
Basic Average Shares,-,-,36028,36432,33781
Diluted Average Shares,-,-,38271,37771,35103
