Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,-9425,-4201,7000,14018,-4590
Interest Expense,-,-,16.302,72.533,-
Income Before Tax,-10330,-5036,6075,13190,-5409
Income Tax Expense,-2922,-1373,1629,3745,-1728
Income from Continuing Operations,-7408,-3662,4446,9445,-3680
Net Income,-7408,-3662,4446,9445,-3680
Net Income available to common shareholders,-7408,-3662,4446,9445,-3680
Basic EPS,-,-0.06,0.08,0.17,-0.07
Diluted EPS,-,-0.06,0.08,0.17,-0.07
Basic Average Shares,-,56567,56163,55505,55092
Diluted Average Shares,-,56567,56163,55505,55092
