Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,495597,495597,439169,371234,318997
Income Before Tax,8673,8673,-43872,10122,43054
Income Tax Expense,1326,1326,-9797,-8201,14109
Income from Continuing Operations,7347,7347,-34075,18323,28945
Net Income,7347,7347,-34075,18323,28945
Net Income available to common shareholders,7347,7347,-34075,18323,28945
Basic EPS,-,-,-2.28,1.22,1.92
Diluted EPS,-,-,-2.28,1.21,1.92
Basic Average Shares,-,-,14965,15065,15072
Diluted Average Shares,-,-,14965,15107,15084
