Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Total Revenue,-2701,-2701,-5176,-2955
Interest Expense,260.4817,260.4817,80.0413,138.5048
Income Before Tax,-3794,-3794,-9570,-11979
Income Tax Expense,0,0,0,-1294
Income from Continuing Operations,-3794,-3794,-9570,-10685
Net Income,-3794,-3794,-9570,-10685
Net Income available to common shareholders,-3794,-3794,-9570,-10685
Basic EPS,-,-0.13,-0.33,-0.41
Diluted EPS,-,-0.13,-0.33,-0.41
Basic Average Shares,-,29207,28986,25959
Diluted Average Shares,-,29207,28986,25959
