Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,303305,303305,289483,256934,213563
Interest Expense,44757,44757,30123,20258,17938
Income Before Tax,113193,113193,94263,78386,68963
Income Tax Expense,21494,21494,16411,32754,23060
Income from Continuing Operations,91699,91699,77852,45632,45903
Net Income,91699,91699,77852,45632,45903
Net Income available to common shareholders,69807,69807,77852,45632,45903
Basic EPS,-,-,3.76,2.21,2.22
Diluted EPS,-,-,3.74,2.20,2.22
Basic Average Shares,-,-,20960,20921,20942
Diluted Average Shares,-,-,21065,21007,20954
