Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,73739,73739,54820,37366,32246
Interest Expense,23249,23249,12629,6611,4762
Income Before Tax,29639,29639,12982,10170,8351
Income Tax Expense,7096,7096,3059,4479,2828
Income from Continuing Operations,22543,22543,9923,5691,5523
Net Income,22543,22543,9923,5691,5523
Net Income available to common shareholders,22543,22543,9923,5691,5523
Basic EPS,-,-,1.26,1.06,1.20
Diluted EPS,-,-,1.25,1.05,1.19
Basic Average Shares,-,-,7875,5369,4603
Diluted Average Shares,-,-,7921,5404,4651
