Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,31715,31715,32007,27830,27291
Interest Expense,7617,7617,5360,3368,2919
Income Before Tax,8330,8330,8745,8193,8073
Income Tax Expense,1651,1651,1706,3068,2695
Income from Continuing Operations,6679,6679,7039,5125,5378
Net Income,6679,6679,7039,5125,5378
Net Income available to common shareholders,6679,6679,7039,5125,5378
Basic EPS,-,-,2.82,2.05,2.16
Diluted EPS,-,-,2.74,2.00,2.08
Basic Average Shares,-,-,2498,2504,2487
Diluted Average Shares,-,-,2567,2568,2583
