Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,59666,59666,59130,62749,54355
Interest Expense,9636,9636,5272,2273,2403
Income Before Tax,21894,21894,21143,19785,15899
Income Tax Expense,5610,5610,5380,8523,6261
Income from Continuing Operations,16284,16284,15763,11262,9638
Net Income,16198,16198,24997,11262,9638
Net Income available to common shareholders,16198,16198,24997,11262,9638
Basic EPS,-,-,1.96,0.89,0.76
Diluted EPS,-,-,1.96,0.89,0.76
Basic Average Shares,-,-,12739,12682,12652
Diluted Average Shares,-,-,12753,12718,12670
