Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,92457,92457,57504,48262,41822
Interest Expense,17370,17370,10324,8328,6730
Income Before Tax,26557,26557,11980,8340,5324
Income Tax Expense,5421,5421,2002,3587,1609
Income from Continuing Operations,21136,21136,9978,4753,3715
Net Income,21136,21136,9978,4753,3715
Net Income available to common shareholders,21136,21136,9978,4730,3628
Basic EPS,-,-,0.99,0.50,0.38
Diluted EPS,-,-,0.97,0.50,0.38
Basic Average Shares,-,-,12104,9487,9487
Diluted Average Shares,-,-,12104,9487,9487
