Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,287472,287472,248949,175480,133314
Interest Expense,55250,55250,35926,21540,12134
Income Before Tax,75446,75446,66500,61098,33509
Income Tax Expense,16902,16902,14792,24878,12809
Income from Continuing Operations,58544,58544,51708,36220,20700
Net Income,58544,58544,51708,36220,20700
Net Income available to common shareholders,58544,58544,51130,35446,19813
Basic EPS,-,-,2.06,1.85,1.11
Diluted EPS,-,-,2.03,1.81,1.10
Basic Average Shares,-,-,24791,19134,17857
Diluted Average Shares,-,-,25481,20000,18054
