Breakdown,ttm,6/30/2019
Total Revenue,47569,47569
Gross Profit,47569,47569
Selling General and Administrative,13945,13945
Total Operating Expenses,26850,26850
Operating Income or Loss,20720,20720
Interest Expense,7293,7293
Total Other Income/Expenses Net,17.455,17.455
Income Before Tax,13480,13480
Income Tax Expense,3884,3884
Income from Continuing Operations,9596,9596
Net Income,9596,9596
Net Income available to common shareholders,9596,9596
Basic EPS,-,0.36
Diluted EPS,-,0.36
Basic Average Shares,-,26681
Diluted Average Shares,-,26681
